Country,Year,Co2,KG_CAP_BEEF,KG_CAP_PIG,KG_CAP_POULTRY,KG_CAP_SHEEP,THND_TONNE_BEEF,THND_TONNE_PIG,THND_TONNE_POULTRY,THND_TONNE_SHEEP,KG_CAP_TOTAL,THND_TONNE_TOTAL,PopMale,PopFemale,PopTotal,PopDensity,Genero
PER,1991,842493662.0,3.75537785,2.410943176,11.67179342,1.154545605,119.54509820000001,68.87609945,295.55008780000003,29.23510061,18.992660050999998,513.20638606,11202.378,11320.005,22522.382999999998,17.596,False
PHL,1991,946455127.0,1.5383740680000002,8.618159405,3.979759465,0.34692459200000003,139.5710991,701.7000512,287.2140893,25.03709875,14.483217530000001,1153.52233835,32047.706000000002,31407.078999999998,63454.785,212.81400000000002,True
RUS,1991,57988740602.0,4.72858e-07,5.268990000000001e-07,5.9445e-07,5.9445e-07,0.0001,0.0001,0.0001,0.0001,2.1886569999999998e-06,0.0004,69344.337,78651.247,147995.584,9.037,False
SAU,1991,3434998613.0,3.4515275610000002,8.78596e-06,27.39250264,5.715525097,83.17110525,0.00018999999999999998,525.059121,109.55510790000001,36.55956408396,717.78552415,9390.891,7381.804,16772.695,7.8020000000000005,True
CHE,1991,1793417340.0,18.5178805,31.16185717,10.14086196,1.6028094,178.3290146,269.3131145,77.68210248,12.27800995,61.42340903,537.6022415299999,3280.397,3438.421,6718.818,170.028,False
THA,1991,1058721657.0,3.898826493,5.455835266,10.75503606,0.021733195,318.9151085,400.5030907,699.7911156,1.414100034,20.131431014,1420.623414834,28357.004,28875.467,57232.471,112.025,False
TUR,1991,2553380422.0,4.760631626,0.0053350690000000004,6.648269503,5.833186499,372.96509629999997,0.3751,414.31208119999997,363.5170983,17.247422697,1151.1693758,27075.879,27764.716,54840.595,71.256,False
UKR,1991,17382872801.0,,,,,1877.6000760000002,1421.100076,654.4001244,39.70010076,,3992.8003771600006,23954.576,27506.697,51461.273,88.83,False
GBR,1991,63300384201.0,1.2208e-06,1.36032e-06,1.53472e-06,1.53472e-06,0.0001,0.0001,0.0001,0.0001,5.65056e-06,0.0004,27847.872000000003,29442.92,57290.792,236.80700000000002,False
USA,1991,252000000000.0,30.40783982,22.75589472,36.46194037,0.621185099,11076.04779,7438.6924819999995,10564.63255,179.9847253,90.246860009,29259.3575473,124767.793,129771.57800000001,254539.371,27.826,False
VNM,1991,573499197.0,1.661251232,7.730746095,2.079917005,0.029557361,165.34409409999998,690.5231102999999,164.67009819999998,2.340099914,11.501471693000001,1022.8774025139999,34376.122,35060.834,69436.95599999999,223.94,False
ZAF,1992,17280348214.0,12.76923722,2.561264721,11.96849193,3.9911907889999996,718.0001,129.24610220000002,535.3210839,178.5161065,31.29018466,1561.0833925999998,331372.563,333139.471,664512.034,22.413,False
ZAF,1992,17280348214.0,12.76923722,2.561264721,11.96849193,3.9911907889999996,718.0001,129.24610220000002,535.3210839,178.5161065,31.29018466,1561.0833925999998,19162.965,19509.646,38672.611000000004,31.879,False
ZAF,1992,9244636475.0,12.76923722,2.561264721,11.96849193,3.9911907889999996,718.0001,129.24610220000002,535.3210839,178.5161065,31.29018466,1561.0833925999998,331372.563,333139.471,664512.034,22.413,False
ZAF,1992,9244636475.0,12.76923722,2.561264721,11.96849193,3.9911907889999996,718.0001,129.24610220000002,535.3210839,178.5161065,31.29018466,1561.0833925999998,19162.965,19509.646,38672.611000000004,31.879,False
ARG,1992,3907051937.0,50.78917845,4.46986549,9.989415528,1.886698335,2441.8821,192.8641,382.0401,72.15581519,67.135157803,3088.9421151899996,16319.702,17209.618000000002,33529.32,12.252,False
AUS,1992,8104679288.0,26.27816552,15.18323182,22.32871021,17.87504447,656.4266225,340.3759,443.6803018,355.1842023,81.66515202,1795.6670265999999,8665.585,8736.594000000001,17402.179,2.265,False
BRA,1992,5071422464.0,20.50163092,5.79735557,14.64785438,0.666148266,4526.885402,1148.8001,2572.767088,117.00309740000002,41.612989136,8365.4556874,76642.504,77616.878,154259.38199999998,18.456,False
CAN,1992,18095235665.0,23.69598282,22.21642835,24.28560858,0.740354738,960.8501,808.4601,783.330925,23.8801,70.938374488,2576.521225,13984.951000000001,14239.458999999999,28224.41,3.1039999999999996,False
CHL,1992,1068671026.0,12.10289406,7.500733384,12.87516579,0.954544417,236.3700951,131.4650963,200.0191125,14.82910047,33.433337651,582.68340437,6741.482,6978.335999999999,13719.818000000001,18.452,False
CHN,1992,46998484242.0,1.0031200340000002,16.98949463,3.274223867,0.912448873,1725.372048,26224.894630000003,4479.7480780000005,1248.4000019999999,22.179287404,33678.414758000006,619162.85,587548.3929999999,1206711.243,128.535,True
COL,1992,1421374301.0,11.55602126,2.969837273,10.29437927,0.30462342600000003,587.0241478999999,135.3891076,415.9711083,12.30910002,25.124861228999997,1150.6934638199998,16945.302,17477.266,34422.568,31.025,False
EGY,1992,1565033061.0,5.440748596000001,0.037510086,4.654204841,1.116881312,466.6260766,2.8871000839999996,317.52008900000004,76.19609915,11.249344835000002,863.2293648340001,29504.232999999997,29162.578999999998,58666.812000000005,58.935,True
ETH,1992,54575808.0,,,,,230.0001,1.150099976,35.90010153,60.33509908,,327.385400586,25644.127,25779.464,51423.59099999999,51.424,False
IND,1992,13203664617.0,1.616123264,0.38266724,0.524666951,0.601264076,2091.774026,444.49308099999996,540.1810692,619.0431298,3.124721531,3695.491306,472162.606,437144.412,909307.0179999999,305.835,True
IDN,1992,3283973989.0,1.2916291359999998,2.435306732,2.566582254,0.46717363100000003,346.4630822,586.2410668,547.6330956,99.68109976,6.760691753,1580.01834436,94166.214,93573.57199999999,187739.78600000002,103.634,True
ISR,1992,706821295.0,10.09405396,1.5028055319999998,38.33742203,1.097992101,69.34410177,9.265100343,209.4991082,6.0001,51.032273623,294.108410313,2362.113,2390.7129999999997,4752.826,219.632,False
JPN,1992,31155771473.0,6.64958158,13.00514598,12.19382488,0.7970884909999999,1190.6691,2089.851529,1736.8091,113.5321,32.645640930999996,5130.861829,61733.004,63598.295999999995,125331.3,343.793,False
KAZ,1992,7433253221.0,25.19515875,10.46871487,7.520614127000001,12.43557271,593.2060937000001,221.2000969,140.8501061,232.90009390000003,55.62006045700001,1188.1563906000001,7912.768,8390.041,16302.809,6.039,False
MYS,1992,907725968.0,2.948786553,10.4893571,25.74281821,0.436933044,80.09209524,255.68109980000003,556.1830834,9.44009958,39.617894907,901.39637802,9673.902,9328.758,19002.66,57.838,True
MEX,1992,8040705685.0,9.182074638,7.677443801,9.720792932,0.638936934,1165.1831029999998,874.3261,981.2291,64.4951,27.219248305,3085.233403,42986.384000000005,44088.752,87075.136,44.793,False
NZL,1992,932230388.0,24.80055904,10.96832447,15.29812134,29.91829455,124.115496,49.26157167,60.9001,119.1013648,80.9852994,353.37853247,1724.6329999999998,1778.5610000000001,3503.1940000000004,13.304,False
NGA,1992,15354646.0,1.4694259719999998,0.87563871,1.4224492659999999,1.5289573269999999,210.3830956,112.5101021,162.0001,174.13010490000002,5.296471274999999,659.0234025999999,4198.378,4368.395,8566.773000000001,6.763,False
NGA,1992,15354646.0,1.4694259719999998,0.87563871,1.4224492659999999,1.5289573269999999,210.3830956,112.5101021,162.0001,174.13010490000002,5.296471274999999,659.0234025999999,50401.529,49760.179000000004,100161.70800000001,109.975,True
NGA,1992,1385697781.0,1.4694259719999998,0.87563871,1.4224492659999999,1.5289573269999999,210.3830956,112.5101021,162.0001,174.13010490000002,5.296471274999999,659.0234025999999,4198.378,4368.395,8566.773000000001,6.763,False
NGA,1992,1385697781.0,1.4694259719999998,0.87563871,1.4224492659999999,1.5289573269999999,210.3830956,112.5101021,162.0001,174.13010490000002,5.296471274999999,659.0234025999999,50401.529,49760.179000000004,100161.70800000001,109.975,True
NOR,1992,1508549677.0,13.14135479,16.04572004,4.739005547,5.127890494,80.58810044,88.30665338,23.11710062,25.0141004,39.053970871,217.02595484,2122.385,2170.3,4292.685,11.752,False
PAK,1992,1057357503.0,4.497806295,1.3028899999999998e-06,1.339645998,4.301030803,730.8751,0.00018999999999999998,173.16010369999998,555.9430932,10.13848439889,1459.9784869,58985.934,54925.192,113911.12599999999,147.768,True
PRY,1992,39326571.0,31.76861249,22.25676919,4.003434665,0.642837297,201.174096,126.48510060000001,20.16610037,3.2380999160000004,58.671653641999995,351.06339688599996,2252.147,2192.8720000000003,4445.019,11.187999999999999,True
PER,1992,862804565.0,3.533182722,2.507578944,12.49638209,1.105332516,114.7631081,73.0961083,322.87607660000003,28.55910002,19.642476272,539.29439302,11425.841999999999,11540.98,22966.822,17.942999999999998,False
PHL,1992,994748931.0,1.5999799940000001,7.893495144,4.159222826000001,0.360369321,148.7421044,658.5551537,307.572091,26.64910017,14.013067285000002,1141.51844927,32828.79,32191.334,65020.124,218.06400000000002,True
RUS,1992,59981958231.0,20.19440098,5.25897e-07,8.80506606,2.066930489,4278.8481,0.0001,1484.0341,348.3671,31.066398054897,6111.249400000001,69516.314,78752.262,148268.576,9.054,False
SAU,1992,3720072727.0,3.5320999260000003,8.52762e-06,23.98435241,5.914529156,87.69110189,0.00018999999999999998,473.6591271000001,116.80410090000001,33.43099001962,678.1545198900001,9667.284,7615.401999999999,17282.686,8.04,True
CHE,1992,1839432832.0,18.31598178,30.59103238,9.788584993999999,1.649905716,178.3290038,267.29408709999996,75.81009914,12.778099800000001,60.34550487,534.21128984,3317.009,3475.897,6792.906,171.903,False
THA,1992,1166798371.0,3.826711644,5.836608751,12.92961301,0.025729987000000003,316.184121,432.79111560000007,849.7970359999999,1.6910998659999998,22.618663392,1600.463372466,28664.305,29146.72,57811.025,113.15700000000001,False
TUR,1992,2712446269.0,4.24114538,0.004198793,6.950216232000001,5.686826151,337.77011949999996,0.30010001199999997,440.303109,360.2660912,16.882386556,1138.6394197119998,27514.967999999997,28233.978,55748.945999999996,72.436,False
UKR,1992,17971935047.0,20.71576719,17.71625923,8.543718891000001,0.599020329,1521.64512,1167.852029,499.2001122,35.0001,47.574765639999995,3223.6973612,23949.972999999998,27465.984,51415.957,88.75200000000001,False
GBR,1992,63893888327.0,1.21751e-06,1.35665e-06,1.5305799999999999e-06,1.5305799999999999e-06,0.0001,0.0001,0.0001,0.0001,5.63532e-06,0.0004,27923.32,29522.721,57446.041,237.449,False
USA,1992,257000000000.0,30.30476889,24.01635509,37.86896201,0.602285448,11145.84606,7927.068256999999,11079.00691,176.2056389,92.792371438,30328.126865899998,126028.071,130962.537,256990.608,28.094,False
VNM,1992,594592108.0,1.7016899580000002,8.856942722000001,2.171470706,0.028950865,172.91709219999998,807.6901024,175.52008899999998,2.340099914,12.759054251000004,1158.4673835139997,35097.097,35786.391,70883.488,228.605,False
ZAF,1993,17989891459.0,11.516085,2.363682875,11.93714396,3.599602615,663.0001,122.12410049999998,546.6691063,164.846093,29.416514449999998,1496.6393997999999,340003.907,341865.42600000004,681869.333,22.998,False
ZAF,1993,17989891459.0,11.516085,2.363682875,11.93714396,3.599602615,663.0001,122.12410049999998,546.6691063,164.846093,29.416514449999998,1496.6393997999999,19610.22,20023.534,39633.754,32.672,False
ZAF,1993,9564974564.0,11.516085,2.363682875,11.93714396,3.599602615,663.0001,122.12410049999998,546.6691063,164.846093,29.416514449999998,1496.6393997999999,340003.907,341865.42600000004,681869.333,22.998,False
